BOURAIL;GNIREP.92;GRA;;;A'B'-181;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.168;OBS;152.27;;A'B'-182;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.145;GRA;;;A'B'-183;;POYA;NIVELLEMENT;
BOURAIL;GNIREP.146;GRA;;;A'B'-184;;POYA;NIVELLEMENT;
BOURAIL;GNIREP.147;GRA;;;A'B'-191a;;POYA;NIVELLEMENT;
BOURAIL;GNIREP.148;OBS;;;A'B'-194;;POYA;NIVELLEMENT;
BOURAIL;GNIREP.35;ADAP;;;A.cd-10 bis;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.36;OBS;220.733;;A.cd-11 a;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.22;OBS;237.239;;A.cd-12;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.37;OBS;253.953;;A.cd-13 bis;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.38;OBS;306.116;;A.cd-14 bis;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.39;ADAP;;;A.cd-15 a;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.40;OBS;410.369;;A.cd-17 a;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.23;OBS;421.239;;A.cd-18;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.20;OBS;98.118;;A.cd-6;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.21;ADAP;;;A.cd-7;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.2;OBS;76.93;;AB-146 e;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.52;GRA;;;AB-147;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.3;OBS;108.409;;AB-148;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.4;OBS;85.18;;AB-148 a;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.5;OBS;87.52;;AB-149;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.6;OBS;106.31;;AB-149 a;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.55;OBS;129.49;;AB-150;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.57;OBS;73.31;;AB-151;;BOURAIL;NIVELLEMENT;RCNC
