IDENTSTF,CODE_PREC,H_ELLIP,MAT,NUMERO,INDICE,RESEAU,RATTACH
FOA_INFRA_GEOREP.52,ADAP,,BF,25- 37,./,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.53,ADAP,,TUBE,25- 37,a,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.54,ADAP,,BF,25- 38,./,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.55,ADAP,,TUBE,25- 38,a,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.56,ADAP,,BF,25- 38,b,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.238,ADAP,,BF,25- 39,./,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.239,ADAP,,TUBE,25- 39,a,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.57,ADAP,,BF,25- 41,b,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.58,ADAP,,RBGM,25- 41,c,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.59,ADAP,,BF,25- 44,./,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.60,ADAP,,TUBE,25- 44,a,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.61,OBS,129.903,BF,25- 49,a,FOA_INFRA_GEODESIE,RBNC
FOA_INFRA_GEOREP.62,OBS,129.845,BF,25- 49,b,FOA_INFRA_GEODESIE,RBNC
FOA_INFRA_GEOREP.63,OBS,129.646,RBGM DANS TUBE,25- 49,c,FOA_INFRA_GEODESIE,RBNC
FOA_INFRA_GEOREP.64,ADAP,,TUBE,25- 49,d,FOA_INFRA_GEODESIE,RBNC
FOA_INFRA_GEOREP.253,OBS,88.317,LA FOA - GPS PERMANENT,25- 51,a,FOA_INFRA_GEODESIE,RBNC
FOA_INFRA_GEOREP.254,OBS,80.419,RBGM,25- 51,b,FOA_INFRA_GEODESIE,RBNC
FOA_INFRA_GEOREP.255,OBS,77.321,PR SUR BLOC BETON,25- 51,c,FOA_INFRA_GEODESIE,RBNC
FOA_INFRA_GEOREP.256,OBS,78.212,RBpm,25- 51,d,FOA_INFRA_GEODESIE,RBNC
FOA_INFRA_GEOREP.18,ADAP,,BF,25- 55,./,FARINO,GEODESIE,
FOA_INFRA_GEOREP.19,ADAP,,TUBE,25- 55,a,FARINO,GEODESIE,
FOA_INFRA_GEOREP.65,ADAP,,BF,25- 56,./,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.66,ADAP,,TUBE,25- 56,a,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.8,ADAP,,BF,25- 57,./,FARINO,GEODESIE,
