IDENTSTF,CODE_PREC,H_ELLIP,MAT,NUMERO,INDICE,RESEAU,RATTACH
DUM_INFRA_GPOREP.30,,,,33-IV -1027,a,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.31,ADAP,,,33-IV -1027,b,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.32,ADAP,,,33-IV -1028,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.39,,,,33-IV -1029,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.40,,,,33-IV -1029,b,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.33,ADAP,,,33-IV -1030,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.34,ADAP,,,33-IV -1030,a,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.35,ADAP,,,33-IV -1030,b,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.36,ADAP,,,33-IV -1031,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.37,ADAP,,,33-IV -1032,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.38,ADAP,,,33-IV -1033,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.47,,,,33-IV -1085,a,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.76,ADAP,,,33-IV -1086,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.70,ADAP,,,33-IV -1087,a,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.48,,,,33-IV -1088,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.77,ADAP,,,33-IV -1090,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.68,ADAP,,,33-IV -1091,b,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.69,ADAP,,,33-IV -1091,a,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.78,ADAP,,,33-IV -1092,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.72,ADAP,,,33-IV -1093,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.64,,,,33-IV -1094,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.49,,,,33-IV -1116,a,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.79,OBS,,,33-IV -1117,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.80,ADAP,,,33-IV -1118,./,DUM_INFRA_POLYGONATION,
